CookerStat, GenerateAssetRegistry=0.024907, Initialize=0.119559, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F24CF9F44ED4EA4B62C0B8DD85DE178__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=347, Duration=2.998937, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E31891E4CB0718B122BDF8B9D5B3712__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=404, Duration=3.129292, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_34DBDFFD4CFE6ED473F4ADAAAC0E190B__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=480, Duration=3.422100, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2432921749B2830D145B1CA15B231909__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=385, Duration=3.616661, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F3DD20634700AB8823661BAA00F26617__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=404, Duration=3.014714, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CEFDBC0C4B689FB63763388D354FE2EB__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=473, Duration=4.227188, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00BC7414487D9764D8866F9FE834665F__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=473, Duration=3.333263, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_101391494BC8387E9BBC1A8BA7A06210__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=385, Duration=3.090542, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_650E86C34142833CA70601BF9EC348F4__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=423, Duration=3.346544, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_644EB3344FEA2CDFFF32F5AA04F7F6A4__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=385, Duration=3.377266, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_921118354891908F5823E7BE3C40A755__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=404, Duration=3.232244, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E41EAE64426597BFA37A198A4E8ADC7A__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=347, Duration=3.754482, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
